generation,rank_1,rank_2,swapAccepted
649000,2,4,1
650000,1,4,0
651000,2,3,1
652000,1,2,1
653000,2,3,0
654000,2,4,1
655000,1,3,1
656000,1,2,0
657000,2,4,1
658000,1,4,1
659000,3,4,1
660000,1,4,1
661000,2,3,1
662000,1,3,1
663000,1,3,1
664000,1,4,1
665000,1,4,1
666000,1,4,1
667000,2,3,1
668000,2,4,1
669000,3,4,1
670000,1,3,0
671000,2,4,1
672000,2,3,1
673000,2,4,1
674000,1,4,1
675000,3,4,1
676000,2,4,1
677000,3,4,0
678000,1,2,1
679000,2,3,1
680000,1,2,1
681000,1,3,1
682000,2,3,1
683000,1,3,1
684000,2,4,0
685000,1,2,1
686000,3,4,1
687000,2,3,0
688000,1,4,0
689000,2,4,1
690000,1,3,0
691000,2,3,1
692000,3,4,1
693000,3,4,0
694000,1,4,0
695000,1,4,0
696000,1,3,1
697000,2,3,1
698000,3,4,1
699000,3,4,1
700000,3,4,1
701000,1,4,1
702000,3,4,1
703000,2,4,1
704000,1,4,1
705000,1,4,1
706000,2,3,1
707000,3,4,1
708000,1,3,1
709000,1,4,1
710000,1,2,0
711000,1,3,1
712000,1,4,1
713000,2,4,1
714000,1,3,1
715000,1,3,1
716000,1,4,1
717000,1,4,1
718000,3,4,1
719000,1,2,1
720000,3,4,1
721000,1,4,1
722000,3,4,1
723000,1,2,1
724000,2,4,1
725000,1,3,1
726000,3,4,1
727000,3,4,1
728000,1,4,1
729000,2,3,1
730000,2,4,1
731000,1,3,1
732000,1,2,1
733000,2,3,1
734000,2,4,1
735000,2,4,1
736000,2,3,1
737000,1,4,1
738000,1,2,1
739000,1,2,0
740000,1,4,1
741000,1,4,1
742000,2,3,1
743000,1,4,1
744000,2,3,1
745000,2,3,1
746000,2,4,1
747000,3,4,1
748000,2,3,1
749000,2,3,1
750000,3,4,1
751000,1,4,1
752000,3,4,1
753000,3,4,1
754000,2,3,1
755000,2,3,1
756000,3,4,1
757000,1,4,1
758000,2,3,1
759000,1,4,1
760000,1,3,1
761000,1,2,1
762000,1,3,0
763000,1,2,1
764000,1,4,1
765000,2,4,1
766000,2,3,1
767000,1,4,0
768000,1,3,0
769000,1,4,1
770000,2,4,1
771000,1,2,1
772000,2,3,1
773000,1,4,1
774000,1,2,1
775000,1,4,1
776000,1,3,0
777000,1,3,0
778000,2,4,1
779000,2,4,1
780000,1,4,0
781000,1,2,0
782000,3,4,1
783000,1,3,1
784000,2,4,1
785000,1,3,1
786000,1,4,1
787000,2,4,1
788000,2,4,1
789000,1,4,1
790000,3,4,1
791000,1,4,1
792000,1,3,1
793000,1,2,1
794000,1,2,1
795000,1,4,1
796000,2,3,1
797000,1,2,1
798000,1,4,0
799000,1,4,1
800000,1,3,1
801000,1,4,0
802000,2,4,1
803000,1,3,0
804000,1,4,0
805000,2,3,1
806000,3,4,1
807000,1,4,1
808000,1,4,1
809000,2,4,1
810000,1,4,1
811000,3,4,0
812000,3,4,1
813000,3,4,1
814000,1,2,1
815000,1,2,1
816000,1,4,0
817000,3,4,1
818000,2,3,1
819000,2,3,1
820000,1,3,1
821000,1,3,0
822000,1,3,1
823000,2,3,1
824000,3,4,0
825000,2,3,1
826000,2,4,1
827000,1,2,1
828000,3,4,1
829000,1,3,0
830000,1,4,0
831000,1,4,0
832000,2,3,1
833000,1,2,1
834000,1,4,1
835000,1,2,1
836000,3,4,1
837000,2,3,1
838000,1,4,1
839000,3,4,1
840000,1,4,1
841000,2,4,1
842000,1,3,1
843000,2,3,1
844000,2,4,1
845000,1,3,1
846000,1,4,1
847000,2,4,1
848000,1,4,0
849000,2,3,1
850000,2,4,1
851000,1,3,1
852000,2,4,0
853000,3,4,1
854000,1,2,1
855000,1,4,1
856000,1,3,1
857000,2,4,1
858000,1,2,1
859000,1,3,1
860000,2,3,1
861000,2,3,1
862000,1,2,1
863000,1,2,1
864000,2,4,1
865000,3,4,1
866000,2,3,1
867000,2,3,1
868000,1,3,1
869000,2,3,1
870000,1,4,0
871000,1,4,0
872000,3,4,1
873000,1,3,1
874000,3,4,1
875000,2,4,1
876000,3,4,1
877000,1,3,1
878000,1,3,1
879000,2,4,1
880000,2,4,1
881000,2,4,1
882000,2,3,1
883000,3,4,1
884000,2,4,1
885000,3,4,1
886000,1,4,1
887000,3,4,1
888000,3,4,1
889000,2,4,1
890000,2,3,1
891000,1,4,1
892000,2,3,1
893000,1,2,1
894000,2,3,1
895000,3,4,1
896000,1,2,1
897000,1,4,1
898000,2,4,0
899000,1,3,1
900000,1,4,1
